Mystery_01	CCF55356.1	100.000	185	0	0	1	185	1	185	1.09e-135	387
Mystery_01	NP_001392037.1	99.459	185	1	0	1	185	1	185	3.55e-135	385
Mystery_01	P08474.1	98.324	179	3	0	1	179	1	179	3.25e-129	371
Mystery_01	QFS21935.1	93.514	185	12	0	1	185	1	185	3.94e-127	365
Mystery_01	QFS21934.1	91.351	185	16	0	1	185	1	185	7.30e-125	360
Mystery_01	MDK0820879.1	90.811	185	16	1	1	185	8	191	1.57e-124	359
Mystery_01	WP_082918361.1	90.811	185	16	1	1	185	1	184	3.21e-124	358
Mystery_01	MDJ8948209.1	91.257	183	15	1	1	183	1	182	1.47e-123	356
Mystery_01	HAP2066367.1	90.710	183	16	1	3	185	1	182	1.02e-122	354
Mystery_01	MDK0832486.1	91.111	180	15	1	1	180	1	179	9.53e-121	349
Mystery_01	WP_082711130.1	86.486	185	24	1	1	185	1	184	2.90e-118	343
Mystery_01	XP_038892640.1	86.486	185	24	1	1	185	1	184	5.35e-118	342
Mystery_01	XP_022957356.1	82.418	182	31	1	1	182	1	181	1.14e-110	323
Mystery_01	OMO51238.1	79.670	182	37	0	1	182	1	182	1.41e-110	323
Mystery_01	XP_023513414.1	82.418	182	31	1	1	182	1	181	4.75e-110	322
Mystery_01	OWM84658.1	80.000	185	34	2	1	185	1	182	9.60e-110	321
Mystery_01	XP_031392043.1	80.000	185	34	2	1	185	35	216	2.67e-109	322
Mystery_01	OMP04748.1	77.717	184	41	0	1	184	1	184	4.29e-109	320
Mystery_01	XP_022986878.1	81.868	182	32	1	1	182	1	181	5.02e-109	319
Mystery_01	XP_021912379.1	76.923	182	42	0	1	182	1	182	1.88e-108	318
Mystery_01	KAA8530569.1	77.778	180	40	0	1	180	1	180	7.47e-108	317
Mystery_01	XP_040996368.1	78.333	180	39	0	1	180	1	180	1.04e-107	316
Mystery_01	BAE46384.1	79.444	180	36	1	1	180	1	179	1.05e-107	316
Mystery_01	XP_019452278.1	78.022	182	40	0	1	182	1	182	1.43e-107	316
Mystery_01	XP_002532149.1	76.374	182	43	0	1	182	1	182	2.30e-107	315
Mystery_02	AAY24209.1	100.000	180	0	0	1	180	77	256	2.55e-126	377
Mystery_02	AAY24209.1	69.767	43	13	0	1	43	525	567	1.35e-09	68.6
Mystery_02	EAW99603.1	100.000	180	0	0	1	180	421	600	2.26e-123	376
Mystery_02	EAW99603.1	54.412	136	62	0	45	180	17	152	2.12e-41	159
Mystery_02	NP_001358454.1	100.000	180	0	0	1	180	393	572	9.51e-123	377
Mystery_02	NP_001358454.1	56.452	124	54	0	57	180	1	124	2.02e-39	154
Mystery_02	NP_001358454.1	69.767	43	13	0	1	43	841	883	1.07e-09	68.9
Mystery_02	KAI4035176.1	100.000	180	0	0	1	180	393	572	1.05e-122	377
Mystery_02	KAI4035176.1	56.452	124	54	0	57	180	1	124	2.70e-39	154
Mystery_02	KAI4035176.1	69.767	43	13	0	1	43	841	883	1.10e-09	68.9
